Brand,ScreenSize,Ram,HardDisk,Price
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
Apple,13.3,8,256,689.99
Apple,15.3,8,256,1144.48
Acer,15.6,8,128,299.99
Apple,13.3,8,256,965.08
Acer,15.6,4,64,239.99
ASUS,16,16,512,1274.03
acer,15.6,8,128,299.99
acer,15.6,16,512,814.77
HP,14,16,1000,379.99
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
acer,17.3,16,1000,1199.99
HP,15.6,16,1000,473
Gateway,11.6,4,64,155
ASUS,15.6,8,512,699.99
MSI,15.6,16,512,938
Lenovo,15.6,20,256,419
Lenovo,15.6,8,256,801.96
ASUS,16,16,1000,1799.99
HP,14,4,64,249
HP,17.3,32,1000,510
HP,15.6,16,512,527.15
ASUS,16,32,1000,2199
MSI,15.6,32,1000,1699
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
Lenovo,14,20,1000,359
HP,14,4,64,209.99
Lenovo,15.6,8,512,637.35
Dell,15.6,16,1000,439
acer,14,8,128,372.66
MSI,15.6,16,1000,1429
Lenovo,14,8,128,281.69
ASUS,15.6,4,64,236.47
HP,15,8,256,337.96
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
ASUS,13.3,32,1000,1399.99
ASUS,15.6,16,1000,1044.77
Lenovo,15.6,8,64,294.29
acer,15.6,4,64,224
ASUS,14,4,128,225.82
Lenovo,14,16,256,539.99
acer,15.6,4,128,229.99
ASUS,13.4,16,1000,1749.99
HP,15.6,16,1000,465
ASUS,16,32,2000,3349
ASUS,18,32,2000,3899
MSI,15.6,32,1000,1699
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
LG,17,32,2000,1734.71
ASUS,13.4,32,1000,2499.99
Lenovo,11.6,4,32,114.74
Microsoft,15,16,512,1084.66
ASUS,15.6,16,512,1150.99
ASUS,15.6,16,1000,1149
HP,14,4,64,199.99
ASUS,17.3,32,1000,2619.99
acer,14,8,128,426.64
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
ASUS,17.3,8,512,783.95
Lenovo,13.3,8,128,479
HP,15.6,16,1000,553
Dell,14,16,512,399
HP,11.6,4,1000,271.99
MSI,15.6,32,1000,1699
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
acer,14,16,512,762.19
ASUS,15.6,16,1000,989.99
Apple,16.2,32,512,1899
acer,15.6,8,256,488.94
Apple,13.6,16,512,1459.94
HP,14,16,64,389.99
SAMSUNG,15.6,16,16,1099.99
Microsoft,14.4,64,2000,3699.99
ASUS,15.6,32,1000,1299
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
SAMSUNG,14,16,1000,1199
Apple,13,16,256,1457.99
HP,15.6,16,1000,469
Carlisle FoodService Products,11.6,4,64,134.9
Gigabyte,15.6,8,512,879.99
ASUS,15.6,16,1000,749.99
acer,11.6,4,64,226
MSI,15.6,32,1000,1699
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
ASUS,14.5,32,1000,2399.99
ASUS,11.6,4,32,184.62
MSI,17.3,32,1000,2793.89
Lenovo,15.6,8,256,429
MSI,15.6,16,512,729.99
Apple,13.6,16,256,1255.94
HP,14,16,256,1000
ASUS,16,32,1000,2499.99
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
SAMSUNG,15.6,4,64,205
HP,14,8,128,265.99
acer,15.6,4,128,367.29
Razer,14,16,1000,2699.99
ASUS,15.6,8,128,379
acer,16,16,1000,1649.99
ASUS,16,16,1000,1589.99
ASUS,15.6,32,1000,1399.99
Dell,13.4,16,512,1229.99
Dell,15.6,16,512,1129.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
ASUS,14,8,256,479.99
HP,16,4,32,94.98
LG,17,32,2000,2296.99
MSI,15.6,32,1000,1699
ASUS,16,32,1000,1699.99
ASUS,16,16,1000,1484.99
Dell,14,16,512,1666.4
ASUS,17.3,16,1000,873
HP,15.6,12,256,503.58
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
Microsoft,12.45,8,256,529
HP,14,8,64,299
Lenovo,14,16,512,535.99
Lenovo,14,4,128,191.87
MSI,15.6,8,256,600.51
Apple,16,32,1000,3059
SAMSUNG,16,32,1000,1939.99
ASUS,15.6,8,64,247.05
MSI,15.6,32,1000,1699
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
acer,13.3,8,64,424.46
Razer,16,32,1000,3611.89
HP,15,32,1000,685
LG,16,16,512,1284.93
HP,14,8,256,570
HP,17.3,8,256,576.99
Lenovo,14,32,1000,1949.99
LG,16,32,1000,1757.57
HP,17.3,16,1000,557
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
MSI,17.3,32,1000,1999.99
MSI,17.3,32,1000,1399
Lenovo,14,16,256,219
ASUS,16,32,32,2199
ASUS,14.5,32,1000,2299.99
ASUS,16,8,512,561
Lenovo,14,4,256,181.99
MSI,16,16,1000,2091.05
ASUS,16,32,2000,2499
MSI,15.6,32,1000,1699
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.66,32,1000,1599
HP,11.6,4,1000,160
